País,Associção,Fundação,Afiliação,Seleção Nacional,Primeira Divisão
Argentina ,AFA ,1893,1916,"ARG (M, F) ",Primera División 
Bolívia ,FBF ,1925,1926,"BOL (M, F) ",División Profesional 
Brasil ,CBF ,1914,1916,"BRA (M, F) ",Série A 
Chile ,FFC ,1895,1916,"CHI (M, F) ",Primera División 
Colômbia ,FCF ,1924,1936,"COL (M, F) ",Primera A 
Equador ,FEF ,1925,1927,"ECU (M, F) ",Serie A 
Paraguai ,APF ,1906,1921,"PAR (M, F) ",División Profesional 
Peru ,FPF ,1922,1925,"PER (M, F) ",Primera División 
Uruguai ,AUF ,1900,1916,"URU (M, F) ",Primera División 
Venezuela ,FVF ,1926,1952,"VEN (M, F) ",Primera División
