Buenos Aires Lawn Tennis Club,Buenos Aires
Estadio 15 de Abril,Santa Fe
Estadio 23 de Agosto - San Salvador de Jujuy
Estadio Alberto J. Armando,Buenos Aires
Estadio Brigadier Estanislao López,Santa Fe
Estadio Ciudad de La Plata,Ciudad de La Plata
Estadio Ciudad de Vicente López,Vicente Lopez
Estadio Diego Armando Maradona,Buenos Aires
Estadio Don León Kolbovski,Buenos Aires
Estadio El Gigante del Norte,Salta
Estadio El Gigante de Alberdi,Córdoba
Estadio Eduardo Gallardón,Buenos Aires
Estadio Florencio Solá,Banfield
Estadio Gabino Sosa,Rosario
Estadio Dr. Lisandro de la Torre,Rosario
Estadio Instituto de Córdoba,Córdoba
Estadio José Amalfitani,Buenos Aires
Estadio José Luis Meiszner,Quilmes
Estadio José María Minella,Mar de Plata
Estadio José María Olaeta,Rosario
Estadio Juan Carlos Zerrillo,Ciudad de La Plata
Estadio Lanús,Lanús
Estadio Libertadores de América,Avellaneda
Estadio Malvinas Argentinas,Mendoza
Estadio Marcelo Bielsa,Rosario
Estadio Monumental Antonio Vespucio Liberti,Buenos Aires
Estadio Monumental de Victoria,Tigre
Estadio Cubierto Newell's Old Boys,Rosario
Estadio Nueva Chicago,Buenos Aires
Estadio Nueva España,Buenos Aires
Estadio Olímpico Chateau Carreras,Córdoba
Estadio Parque Roca,Buenos Aires
Estadio Pedro Bidegain,Buenos Aires
Estadio Presidente Juan Domingo Perón (El Cilindro),Avellaneda
Estadio Ricardo Etcheverry,Buenos Aires
Estadio Tomás Adolfo Ducó,Buenos Aires
